주문번호,사용자ID,주문일자,카테고리,상품명,단가,수량,총주문금액,주문상태,결제수단
ORD-20260519-0001,user_1516,2026-05-05 20:26:00,의류,린넨 셔츠,45000.0,1,45000.0,배송완료,간편결제
ORD-20260519-0002,user_1765,2026-05-03 01:51:00,식품,닭가슴살 팩 20입,35000.0,1,,배송완료,간편결제
ORD-20260519-0003,user_1611,2026-05-06 00:11:00,뷰티,보습 수분크림 50ml,28000.0,1,28000.0,배송완료,무통장입금
ORD-20260519-0004,user_1128,2026-05-01 22:47:00,식품,유기농 더치커피 원액,18000.0,1,18000.0,배송완료,토스페이
ORD-20260519-0005,user_1330,2026-05-16 03:41:00,의류,스트레이트 데님 팬츠,49000.0,1,,배송완료,간편결제
ORD-20260519-0006,user_1373,2026-05-17 17:20:00,뷰티,보습 수분크림 50ml,28000.0,2,56000.0,,무통장입금
ORD-20260519-0007,user_1414,2026-05-05 14:32:00,뷰티,비타민C 세럼,32000.0,1,32000.0,배송완료,토스페이
ORD-20260519-0008,user_1658,2026-05-16 08:17:00,전기/전자,버티컬 무선 마우스,79000.0,1,79000.0,주문취소,간편결제
ORD-20260519-0009,user_1795,2026-05-06 08:32:00,의류,린넨 셔츠,45000.0,1,45000.0,배송완료,신용카드
ORD-20260519-0010,user_1942,2026-05-12 13:32:00,의류,오버핏 맨투맨 티셔츠,39000.0,2,78000.0,배송완료,신용카드
ORD-20260519-0011,user_1638,2026-05-09 09:36:00,뷰티,보습 수분크림 50ml,28000.0,3,,배송완료,무통장입금
ORD-20260519-0012,user_1487,2026-05-07 09:29:00,식품,유기농 더치커피 원액,18000.0,1,18000.0,배송완료,무통장입금
ORD-20260519-0013,user_1514,2026-05-18 23:33:00,식품,닭가슴살 팩 20입,,1,35000.0,배송완료,무통장입금
ORD-20260519-0014,user_1093,2026-05-01 02:52:00,뷰티,보습 수분크림 50ml,28000.0,1,28000.0,배송중,신용카드
ORD-20260519-0015,user_1680,2026-05-11 19:30:00,뷰티,비타민C 세럼,32000.0,1,,배송완료,토스페이
ORD-20260519-0016,user_1680,2026-05-16 23:17:00,의류,린넨 셔츠,45000.0,2,90000.0,배송완료,토스페이
ORD-20260519-0017,user_1035,2026-05-13 04:29:00,의류,린넨 셔츠,45000.0,1,45000.0,배송중,무통장입금
ORD-20260519-0018,user_1138,2026-05-13 06:01:00,의류,윈드브레이커 재킷,,1,89000.0,배송완료,간편결제
ORD-20260519-0019,user_1284,2026-05-06 13:55:00,뷰티,비타민C 세럼,32000.0,2,64000.0,배송완료,간편결제
ORD-20260519-0020,user_1129,2026-05-13 15:24:00,의류,린넨 셔츠,45000.0,1,45000.0,,무통장입금
ORD-20260519-0021,user_1162,2026-05-01 03:02:00,식품,단백질 보충 쉐이크,42000.0,4,168000.0,배송완료,신용카드
ORD-20260519-0022,user_1228,2026-05-18 17:23:00,의류,오버핏 맨투맨 티셔츠,39000.0,1,,배송중,신용카드
ORD-20260519-0023,user_1297,2026-05-11 21:40:00,뷰티,올인원 자외선차단제,24000.0,1,24000.0,결제완료,무통장입금
ORD-20260519-0024,user_1097,2026-05-18 04:30:00,뷰티,올인원 자외선차단제,24000.0,1,24000.0,주문취소,간편결제
ORD-20260519-0025,user_1407,2026-05-01 00:49:00,식품,유기농 더치커피 원액,18000.0,1,18000.0,배송중,토스페이
ORD-20260519-0026,user_1410,2026-05-05 09:52:00,뷰티,비타민C 세럼,32000.0,1,32000.0,배송완료,신용카드
ORD-20260519-0027,user_1292,2026-05-01 23:13:00,식품,닭가슴살 팩 20입,35000.0,1,35000.0,배송중,토스페이
ORD-20260519-0028,user_1713,2026-05-09 13:01:00,의류,린넨 셔츠,45000.0,2,90000.0,배송완료,간편결제
ORD-20260519-0029,user_1500,2026-05-16 13:07:00,뷰티,비타민C 세럼,32000.0,1,32000.0,,토스페이
ORD-20260519-0030,user_1011,2026-05-03 00:43:00,식품,단백질 보충 쉐이크,42000.0,1,42000.0,배송완료,토스페이
ORD-20260519-0031,user_1891,2026-05-04 16:47:00,뷰티,비타민C 세럼,,2,,배송완료,간편결제
ORD-20260519-0032,user_1135,2026-05-13 10:16:00,식품,닭가슴살 팩 20입,35000.0,4,140000.0,결제완료,무통장입금
ORD-20260519-0033,user_1048,2026-05-16 05:43:00,전기/전자,고속 충전 보조배터리,35000.0,1,35000.0,주문취소,간편결제
ORD-20260519-0034,user_1885,2026-05-10 13:40:00,전기/전자,기계식 게이밍 키보드,129000.0,1,,결제완료,신용카드
ORD-20260519-0035,user_1334,2026-05-18 17:44:00,뷰티,비타민C 세럼,32000.0,1,32000.0,배송중,신용카드
ORD-20260519-0036,user_1918,2026-05-13 16:58:00,전기/전자,무선 노이즈캔슬링 헤드폰,199000.0,1,199000.0,배송중,신용카드
ORD-20260519-0037,user_1993,2026-05-03 21:39:00,식품,단백질 보충 쉐이크,42000.0,4,,배송완료,무통장입금
ORD-20260519-0038,user_1518,2026-05-03 00:34:00,식품,닭가슴살 팩 20입,35000.0,1,35000.0,배송완료,토스페이
ORD-20260519-0039,user_1962,2026-05-07 02:59:00,식품,유기농 더치커피 원액,18000.0,1,18000.0,배송완료,신용카드
ORD-20260519-0040,user_1151,2026-05-16 00:59:00,뷰티,비타민C 세럼,32000.0,3,96000.0,배송중,무통장입금
ORD-20260519-0041,user_1309,2026-05-16 03:24:00,의류,오버핏 맨투맨 티셔츠,,5,195000.0,배송완료,토스페이
ORD-20260519-0042,user_1029,2026-05-11 08:02:00,뷰티,보습 수분크림 50ml,28000.0,1,28000.0,배송완료,토스페이
ORD-20260519-0043,user_1077,2026-05-19 13:02:00,전기/전자,버티컬 무선 마우스,,1,79000.0,주문취소,신용카드
ORD-20260519-0044,user_1488,2026-05-04 10:19:00,식품,닭가슴살 팩 20입,35000.0,4,140000.0,배송완료,신용카드
ORD-20260519-0045,user_1972,2026-05-03 15:17:00,의류,린넨 셔츠,45000.0,1,45000.0,배송완료,신용카드
ORD-20260519-0046,user_1444,2026-05-19 05:27:00,식품,닭가슴살 팩 20입,35000.0,1,35000.0,배송중,무통장입금
ORD-20260519-0047,user_1432,2026-05-07 07:21:00,식품,유기농 더치커피 원액,18000.0,1,18000.0,,토스페이
ORD-20260519-0048,user_1486,2026-05-09 17:47:00,전기/전자,고속 충전 보조배터리,35000.0,5,175000.0,배송완료,간편결제
ORD-20260519-0049,user_1595,2026-05-03 05:29:00,전기/전자,버티컬 무선 마우스,79000.0,1,79000.0,배송완료,무통장입금
ORD-20260519-0050,user_1980,2026-05-02 00:57:00,전기/전자,버티컬 무선 마우스,79000.0,1,79000.0,배송완료,신용카드
