주문번호,사용자ID,주문일자,카테고리,상품명,단가,수량,총주문금액,주문상태,결제수단
ORD-20260519-0001,user_1675,2026-05-16 01:58:00,전기/전자,기계식 게이밍 키보드,129000,1,129000,배송완료,신용카드
ORD-20260519-0002,user_1800,2026-05-06 14:02:00,의류,스트레이트 데님 팬츠,49000,1,49000,배송완료,간편결제
ORD-20260519-0003,user_1574,2026-05-02 05:58:00,의류,윈드브레이커 재킷,89000,3,267000,결제완료,간편결제
ORD-20260519-0004,user_1593,2026-05-18 06:45:00,전기/전자,고속 충전 보조배터리,35000,3,105000,배송중,신용카드
ORD-20260519-0005,user_1324,2026-05-18 18:18:00,뷰티,올인원 자외선차단제,24000,2,48000,배송완료,무통장입금
ORD-20260519-0006,user_1243,2026-05-19 06:59:00,식품,유기농 더치커피 원액,18000,1,18000,배송완료,무통장입금
ORD-20260519-0007,user_1903,2026-05-10 19:29:00,전기/전자,무선 노이즈캔슬링 헤드폰,199000,1,199000,배송중,신용카드
ORD-20260519-0008,user_1403,2026-05-01 07:51:00,식품,닭가슴살 팩 20입,35000,4,140000,배송완료,신용카드
ORD-20260519-0009,user_1461,2026-05-18 11:48:00,식품,닭가슴살 팩 20입,35000,2,70000,배송완료,간편결제
ORD-20260519-0010,user_1929,2026-05-13 00:53:00,식품,닭가슴살 팩 20입,35000,1,35000,배송완료,신용카드
ORD-20260519-0011,user_1426,2026-05-04 10:04:00,식품,단백질 보충 쉐이크,42000,5,210000,결제완료,신용카드
ORD-20260519-0012,user_1137,2026-05-08 12:17:00,식품,닭가슴살 팩 20입,35000,2,70000,배송완료,토스페이
ORD-20260519-0013,user_1132,2026-05-13 02:19:00,전기/전자,기계식 게이밍 키보드,129000,1,129000,배송완료,토스페이
ORD-20260519-0014,user_1704,2026-05-04 16:22:00,식품,닭가슴살 팩 20입,35000,1,35000,배송중,무통장입금
ORD-20260519-0015,user_1684,2026-05-05 08:16:00,식품,유기농 더치커피 원액,18000,1,18000,배송완료,신용카드
ORD-20260519-0016,user_1224,2026-05-06 07:26:00,의류,오버핏 맨투맨 티셔츠,39000,1,39000,배송완료,토스페이
